    4.50   54.00      -28.59968
    4.50   55.50      -31.03290
    4.50   57.00      -33.57661
    4.50   58.50      -35.44893
    4.50   60.00      -36.13997
    4.50   61.50      -35.83613
    4.50   63.00      -35.01386
    4.50   64.50      -33.97485
    4.50   66.00      -32.60821
    4.50   67.50      -30.75887
    4.50   69.00      -28.67827
    4.50   70.50      -26.93062
    4.50   72.00      -25.27084
    4.50   73.50      -21.97605
 
    6.00    0.00       -8.38419
    6.00    1.50       -8.35215
    6.00    3.00       -9.10717
    6.00    4.50      -10.99421
    6.00    6.00      -14.49309
    6.00    7.50      -18.93241
    6.00    9.00      -22.20735
    6.00   10.50      -24.36307
    6.00   12.00      -26.70885
    6.00   13.50      -29.69800
    6.00   15.00      -32.80970
    6.00   16.50      -35.92238
    6.00   18.00      -38.72576
    6.00   19.50      -41.07295
    6.00   21.00      -43.10081
    6.00   22.50      -44.48060
    6.00   24.00      -44.96502
    6.00   25.50      -44.66205
    6.00   27.00      -43.92692
    6.00   28.50      -43.16510
    6.00   30.00      -42.45647
    6.00   31.50      -41.43467
    6.00   33.00      -39.75710
    6.00   34.50      -37.35321
    6.00   36.00      -34.75102
    6.00   37.50      -32.61033
    6.00   39.00      -31.15801
    6.00   40.50      -30.06986
    6.00   42.00      -28.92655
    6.00   43.50      -27.33083
    6.00   45.00      -25.08569
    6.00   46.50      -23.57492
    6.00   48.00      -23.48177
    6.00   49.50      -24.76786
    6.00   51.00      -27.45320
    6.00   52.50      -30.98739
    6.00   54.00      -34.39496
    6.00   55.50      -37.71209
    6.00   57.00      -40.62386
    6.00   58.50      -42.48958
    6.00   60.00      -42.98486
    6.00   61.50      -42.33480
    6.00   63.00      -40.99732
    6.00   64.50      -39.28986
    6.00   66.00      -37.22654
    6.00   67.50      -34.68602
    6.00   69.00      -31.98645
    6.00   70.50      -30.00109
    6.00   72.00      -28.22578
    6.00   73.50      -24.32971
 
    7.50    0.00      -11.37730
    7.50    1.50      -11.34755
    7.50    3.00      -11.51420
    7.50    4.50      -13.59243
    7.50    6.00      -17.00676
    7.50    7.50      -21.29970
    7.50    9.00      -23.76407
    7.50   10.50      -25.88284
    7.50   12.00      -28.78026
    7.50   13.50      -32.64498
    7.50   15.00      -36.70687
    7.50   16.50      -40.68763
    7.50   18.00      -44.08001
    7.50   19.50      -46.57179
    7.50   21.00      -48.24289
    7.50   22.50      -49.08785
    7.50   24.00      -49.09454
    7.50   25.50      -48.44118
    7.50   27.00      -47.49406
    7.50   28.50      -46.48496
    7.50   30.00      -45.09610
    7.50   31.50      -42.90010
    7.50   33.00      -39.93998
    7.50   34.50      -36.61630
    7.50   36.00      -33.58342
    7.50   37.50      -31.37944
    7.50   39.00      -30.11283
    7.50   40.50      -29.42778
    7.50   42.00      -28.99313
    7.50   43.50      -28.40413
    7.50   45.00      -27.51006
    7.50   46.50      -26.90370
    7.50   48.00      -27.22808
    7.50   49.50      -28.89899
    7.50   51.00      -32.20467
    7.50   52.50      -36.63510
    7.50   54.00      -40.91087
    7.50   55.50      -44.73370
    7.50   57.00      -47.77533
    7.50   58.50      -49.46763
    7.50   60.00      -49.68635
    7.50   61.50      -48.67484
    7.50   63.00      -46.84724
    7.50   64.50      -44.57147
    7.50   66.00      -42.02217
    7.50   67.50      -39.13771
    7.50   69.00      -36.07288
    7.50   70.50      -33.87638
    7.50   72.00      -31.80883
    7.50   73.50      -27.11686
 
    9.00    0.00      -15.02960
    9.00    1.50      -15.80001
    9.00    3.00      -15.91921
    9.00    4.50      -18.19025
    9.00    6.00      -21.29618
    9.00    7.50      -23.54660
    9.00    9.00      -25.52828
    9.00   10.50      -28.42447
    9.00   12.00      -32.58006
    9.00   13.50      -37.21992
    9.00   15.00      -41.66663
    9.00   16.50      -45.75125
    9.00   18.00      -49.19185
    9.00   19.50      -51.67183
    9.00   21.00      -53.13764
    9.00   22.50      -53.69163
    9.00   24.00      -53.44160
    9.00   25.50      -52.58376
    9.00   27.00      -51.43632
    9.00   28.50      -50.06147
    9.00   30.00      -47.82526
    9.00   31.50      -44.14212
    9.00   33.00      -39.48772
    9.00   34.50      -35.49992
    9.00   36.00      -32.48944
    9.00   37.50      -30.50493
    9.00   39.00      -29.73758
    9.00   40.50      -29.97159
    9.00   42.00      -30.72763
    9.00   43.50      -31.35529
    9.00   45.00      -31.59386
    9.00   46.50      -31.78215
    9.00   48.00      -32.60652
    9.00   49.50      -34.79547
    9.00   51.00      -38.68720
    9.00   52.50      -43.47287
    9.00   54.00      -47.93052
    9.00   55.50      -51.61093
    9.00   57.00      -54.34300
    9.00   58.50      -55.75341
    9.00   60.00      -55.73232
    9.00   61.50      -54.44284
    9.00   63.00      -52.22180
    9.00   64.50      -49.47527
    9.00   66.00      -46.53015
    9.00   67.50      -43.50451
    9.00   69.00      -40.57883
    9.00   70.50      -38.09683
    9.00   72.00      -35.36562
    9.00   73.50      -29.73822
 
   10.50    0.00      -18.09562
   10.50    1.50      -20.01191
   10.50    3.00      -20.82397
   10.50    4.50      -21.96656
   10.50    6.00      -23.87963
   10.50    7.50      -25.72048
   10.50    9.00      -28.23307
   10.50   10.50      -32.56907
   10.50   12.00      -37.84924
   10.50   13.50      -42.82009
   10.50   15.00      -47.08620
   10.50   16.50      -50.75202
   10.50   18.00      -53.82023
   10.50   19.50      -56.10258
   10.50   21.00      -57.50644
